secteur_activite,revenu_mensuel_estime_fcfa,volume_flux_mobile_money_fcfa,solde_epargne_mobile_fcfa,retards_paiement_6mois,taux_endettement,membre_cooperative_tontine,nb_depots_suspects_24h,ratio_retrait_immediat,changement_sim_recent,defaut_paiement,est_fraude
Planteur_Cacao,573000.0,692000.0,143000.0,1,0.22,1,0,0.4,0,0,0
Artisan,333000.0,296000.0,45000.0,0,0.12,0,0,0.38,0,0,0
Salarie_Prive,416000.0,303000.0,111000.0,0,0.44,0,1,0.23,0,0,0
Planteur_Cacao,153000.0,168000.0,40000.0,0,0.46,0,0,0.82,0,0,0
Planteur_Cacao,384000.0,549000.0,170000.0,1,0.71,1,1,0.78,0,1,1
Fonctionnaire,626000.0,895000.0,294000.0,0,0.41,1,0,0.53,0,0,0
Salarie_Prive,379000.0,319000.0,48000.0,0,0.51,1,0,0.58,1,0,1
Salarie_Prive,746000.0,767000.0,142000.0,0,0.47,1,0,0.15,0,0,0
Salarie_Prive,752000.0,535000.0,183000.0,1,0.08,1,1,0.59,0,0,0
Planteur_Cacao,300000.0,449000.0,71000.0,0,0.54,1,0,0.8,0,0,0
Commercant_Informel,331000.0,491000.0,158000.0,0,0.71,1,0,0.61,0,0,0
Planteur_Cacao,693000.0,797000.0,301000.0,0,0.18,0,0,0.34,1,0,1
Fonctionnaire,390000.0,508000.0,131000.0,0,0.53,0,0,0.69,0,0,0
Salarie_Prive,469000.0,570000.0,172000.0,3,0.52,1,0,0.42,0,1,0
Planteur_Cacao,295000.0,323000.0,105000.0,1,0.18,0,1,0.58,0,0,1
Planteur_Cacao,217000.0,120000.0,41000.0,3,0.15,1,0,0.53,1,1,1
Planteur_Cacao,283000.0,270000.0,46000.0,0,0.83,0,0,0.44,0,1,0
Planteur_Cacao,180000.0,211000.0,8000.0,3,0.36,1,1,0.74,0,1,1
Salarie_Prive,505000.0,595000.0,103000.0,0,0.23,1,1,0.89,0,0,1
Salarie_Prive,385000.0,336000.0,93000.0,0,0.19,1,1,0.1,0,0,0
Fonctionnaire,439000.0,632000.0,121000.0,1,0.58,1,1,0.93,0,1,1
Commercant_Informel,140000.0,93000.0,28000.0,0,0.54,0,0,0.56,0,1,0
Planteur_Cacao,460000.0,460000.0,72000.0,1,0.56,1,1,0.72,0,1,1
Salarie_Prive,625000.0,744000.0,194000.0,1,0.12,1,0,0.86,1,0,1
Salarie_Prive,201000.0,241000.0,22000.0,1,0.76,1,1,0.52,0,1,0
Commercant_Informel,314000.0,360000.0,110000.0,2,0.36,1,1,0.84,0,1,1
Salarie_Prive,684000.0,530000.0,121000.0,0,0.3,1,0,0.26,0,0,0
Commercant_Informel,171000.0,112000.0,11000.0,0,0.42,0,1,0.24,0,0,0
Commercant_Informel,431000.0,489000.0,64000.0,2,0.36,0,1,0.69,0,1,1
Commercant_Informel,318000.0,349000.0,106000.0,1,0.74,0,1,0.87,0,1,1
Planteur_Cacao,273000.0,186000.0,38000.0,2,0.79,0,0,0.89,0,1,0
Planteur_Cacao,390000.0,470000.0,48000.0,0,0.29,1,1,0.67,0,0,0
Planteur_Cacao,500000.0,478000.0,185000.0,0,0.74,0,1,0.57,0,0,1
Salarie_Prive,511000.0,597000.0,174000.0,1,0.68,1,2,0.39,0,1,1
Planteur_Cacao,497000.0,665000.0,255000.0,0,0.79,0,0,0.97,0,0,0
Commercant_Informel,197000.0,132000.0,24000.0,0,0.25,1,0,0.38,0,0,0
Artisan,210000.0,109000.0,22000.0,0,0.51,0,0,0.76,0,0,0
Planteur_Cacao,146000.0,186000.0,67000.0,1,0.27,0,0,0.57,0,0,0
Commercant_Informel,270000.0,300000.0,66000.0,0,0.71,0,0,0.64,0,1,0
Salarie_Prive,364000.0,437000.0,126000.0,2,0.05,0,0,0.45,1,1,1
Planteur_Cacao,268000.0,358000.0,41000.0,0,0.5,0,0,0.96,0,0,0
Planteur_Cacao,622000.0,811000.0,154000.0,2,0.32,0,0,0.61,1,1,1
Planteur_Cacao,596000.0,871000.0,58000.0,0,0.31,1,1,0.93,0,0,1
Planteur_Cacao,510000.0,528000.0,52000.0,0,0.57,1,0,0.11,0,0,0
Artisan,134000.0,133000.0,3000.0,1,0.73,1,1,0.61,0,1,0
Fonctionnaire,395000.0,356000.0,12000.0,0,0.54,1,1,0.74,0,0,1
Salarie_Prive,682000.0,446000.0,174000.0,1,0.73,1,0,0.76,0,1,0
Fonctionnaire,431000.0,463000.0,52000.0,0,0.26,1,1,0.91,0,0,1
Fonctionnaire,606000.0,471000.0,128000.0,0,0.47,1,0,0.1,0,0,0
Planteur_Cacao,471000.0,669000.0,227000.0,1,0.41,0,1,0.1,0,1,0
Fonctionnaire,435000.0,472000.0,108000.0,0,0.06,0,0,0.52,0,0,0
Commercant_Informel,252000.0,276000.0,22000.0,1,0.5,1,0,0.13,1,1,0
Fonctionnaire,431000.0,368000.0,109000.0,2,0.58,1,0,0.97,0,1,0
Fonctionnaire,408000.0,225000.0,56000.0,0,0.52,1,0,0.3,0,0,0
Planteur_Cacao,527000.0,280000.0,84000.0,2,0.64,1,1,0.52,0,1,0
Planteur_Cacao,572000.0,528000.0,165000.0,1,0.51,0,0,0.15,0,1,0
Planteur_Cacao,259000.0,151000.0,59000.0,1,0.1,1,0,0.56,0,0,0
Commercant_Informel,160000.0,177000.0,42000.0,0,0.14,1,3,0.44,0,0,1
Fonctionnaire,273000.0,377000.0,57000.0,0,0.53,0,2,0.14,0,0,1
Fonctionnaire,461000.0,637000.0,170000.0,0,0.27,0,0,0.4,0,0,0
Planteur_Cacao,201000.0,233000.0,11000.0,1,0.11,1,0,0.45,1,0,1
Commercant_Informel,86000.0,61000.0,22000.0,0,0.39,0,0,0.98,0,0,0
Commercant_Informel,315000.0,429000.0,28000.0,0,0.49,1,0,0.29,0,0,0
Planteur_Cacao,849000.0,1176000.0,170000.0,2,0.31,1,0,0.58,0,1,0
Planteur_Cacao,399000.0,278000.0,92000.0,0,0.63,1,0,0.98,0,0,0
Planteur_Cacao,551000.0,682000.0,168000.0,0,0.57,1,1,0.8,0,0,1
Artisan,205000.0,161000.0,27000.0,2,0.32,1,1,0.98,0,1,1
Planteur_Cacao,382000.0,498000.0,100000.0,1,0.65,1,3,0.96,0,1,1
Commercant_Informel,363000.0,543000.0,187000.0,1,0.57,0,0,0.54,0,1,0
Salarie_Prive,456000.0,242000.0,36000.0,0,0.56,0,0,0.72,0,1,0
Commercant_Informel,304000.0,425000.0,149000.0,0,0.49,1,2,0.2,0,0,1
Artisan,219000.0,246000.0,13000.0,2,0.06,1,0,0.49,0,1,0
Artisan,160000.0,236000.0,74000.0,2,0.61,0,0,0.82,0,1,0
Planteur_Cacao,579000.0,558000.0,191000.0,0,0.35,1,0,0.55,0,0,0
Commercant_Informel,264000.0,356000.0,32000.0,0,0.8,0,0,0.73,0,1,0
Planteur_Cacao,264000.0,148000.0,27000.0,1,0.7,1,0,0.76,0,1,0
Planteur_Cacao,497000.0,415000.0,34000.0,0,0.52,1,0,0.33,0,0,0
Planteur_Cacao,238000.0,135000.0,39000.0,1,0.25,1,1,0.88,0,0,1
Salarie_Prive,504000.0,744000.0,166000.0,0,0.21,1,0,0.51,0,0,0
Commercant_Informel,279000.0,368000.0,96000.0,0,0.32,1,1,0.29,0,0,0
Planteur_Cacao,595000.0,805000.0,76000.0,0,0.43,1,0,0.87,0,0,0
Planteur_Cacao,485000.0,698000.0,70000.0,1,0.29,1,0,0.47,0,0,0
Artisan,198000.0,116000.0,4000.0,0,0.46,1,0,0.77,0,0,0
Planteur_Cacao,547000.0,485000.0,69000.0,2,0.18,1,0,0.59,0,1,0
Planteur_Cacao,650000.0,371000.0,86000.0,1,0.83,1,0,0.44,0,1,0
Commercant_Informel,330000.0,235000.0,81000.0,0,0.14,1,0,0.82,0,0,0
Artisan,201000.0,146000.0,40000.0,1,0.8,1,0,0.62,0,1,0
Planteur_Cacao,164000.0,159000.0,29000.0,1,0.78,1,0,0.45,0,1,0
Salarie_Prive,340000.0,261000.0,100000.0,2,0.47,1,1,0.2,0,1,0
Salarie_Prive,454000.0,273000.0,80000.0,0,0.63,0,1,0.9,0,1,1
Planteur_Cacao,290000.0,194000.0,72000.0,2,0.4,1,0,0.13,0,1,0
Salarie_Prive,472000.0,305000.0,67000.0,1,0.55,0,1,0.87,0,1,1
Commercant_Informel,285000.0,420000.0,50000.0,0,0.32,1,0,0.42,0,0,0
Salarie_Prive,579000.0,730000.0,29000.0,3,0.29,1,0,0.67,0,1,0
Salarie_Prive,489000.0,718000.0,213000.0,0,0.51,1,0,0.92,0,0,0
Commercant_Informel,324000.0,304000.0,20000.0,1,0.45,0,2,0.24,0,1,1
Planteur_Cacao,412000.0,320000.0,43000.0,0,0.51,1,0,0.6,0,0,0
Fonctionnaire,262000.0,340000.0,76000.0,0,0.28,1,0,0.78,0,0,0
Planteur_Cacao,231000.0,191000.0,45000.0,0,0.34,1,3,0.77,0,0,1
Planteur_Cacao,374000.0,299000.0,74000.0,0,0.12,1,1,0.57,0,0,1
Planteur_Cacao,182000.0,134000.0,11000.0,0,0.09,1,0,0.66,0,0,0
Commercant_Informel,334000.0,210000.0,35000.0,0,0.25,1,1,0.77,0,0,1
Salarie_Prive,730000.0,552000.0,140000.0,0,0.11,1,1,0.85,0,0,1
Planteur_Cacao,619000.0,530000.0,206000.0,1,0.13,1,1,0.78,0,0,1
Commercant_Informel,261000.0,306000.0,91000.0,0,0.7,1,0,0.42,0,0,0
Planteur_Cacao,668000.0,376000.0,139000.0,3,0.08,0,0,0.99,0,1,0
Salarie_Prive,522000.0,371000.0,115000.0,1,0.58,0,0,0.49,0,1,0
Planteur_Cacao,339000.0,444000.0,109000.0,0,0.27,1,0,0.12,0,0,0
Salarie_Prive,408000.0,264000.0,25000.0,0,0.75,0,0,0.42,0,1,0
Commercant_Informel,253000.0,213000.0,58000.0,1,0.44,0,0,0.21,0,1,0
Artisan,177000.0,241000.0,62000.0,0,0.29,1,0,0.21,0,0,0
Planteur_Cacao,431000.0,282000.0,70000.0,0,0.46,1,0,0.35,0,0,0
Planteur_Cacao,429000.0,250000.0,52000.0,2,0.36,0,0,0.15,0,1,0
Planteur_Cacao,401000.0,394000.0,87000.0,1,0.5,1,2,0.71,0,1,1
Artisan,226000.0,182000.0,27000.0,1,0.14,1,0,0.17,0,0,0
Fonctionnaire,515000.0,548000.0,119000.0,1,0.85,0,1,0.28,0,1,0
Planteur_Cacao,571000.0,744000.0,71000.0,1,0.39,1,0,0.18,0,1,0
Salarie_Prive,277000.0,177000.0,58000.0,0,0.33,0,0,0.16,0,0,0
Fonctionnaire,216000.0,233000.0,21000.0,0,0.62,0,0,0.34,0,1,0
Commercant_Informel,364000.0,366000.0,19000.0,1,0.34,0,0,0.61,0,1,0
Commercant_Informel,157000.0,101000.0,19000.0,1,0.72,1,0,0.96,0,1,0
Planteur_Cacao,360000.0,404000.0,109000.0,2,0.41,1,0,0.88,0,1,0
Planteur_Cacao,189000.0,147000.0,27000.0,1,0.63,1,0,0.88,0,1,0
Fonctionnaire,276000.0,272000.0,34000.0,0,0.14,1,0,0.26,0,0,0
Artisan,232000.0,135000.0,31000.0,1,0.73,1,0,0.34,1,1,1
Salarie_Prive,614000.0,589000.0,89000.0,1,0.64,1,0,0.17,1,1,0
Planteur_Cacao,296000.0,239000.0,89000.0,0,0.22,1,0,0.79,1,0,1
Planteur_Cacao,60000.0,79000.0,29000.0,0,0.17,1,1,0.16,0,0,0
Salarie_Prive,418000.0,233000.0,49000.0,0,0.3,1,0,0.6,0,0,0
Fonctionnaire,451000.0,415000.0,60000.0,2,0.83,0,0,0.32,0,1,0
Fonctionnaire,302000.0,289000.0,87000.0,2,0.26,0,1,0.32,0,1,0
Salarie_Prive,528000.0,646000.0,22000.0,0,0.41,0,0,0.98,0,0,0
Salarie_Prive,498000.0,535000.0,107000.0,3,0.07,1,1,0.77,0,1,1
Planteur_Cacao,504000.0,589000.0,87000.0,0,0.37,0,1,0.84,0,0,1
Planteur_Cacao,422000.0,538000.0,199000.0,0,0.51,0,3,0.61,0,0,1
Fonctionnaire,342000.0,466000.0,11000.0,0,0.81,1,0,0.88,0,1,0
Salarie_Prive,679000.0,553000.0,127000.0,0,0.46,1,1,0.67,0,0,1
Planteur_Cacao,371000.0,386000.0,116000.0,1,0.71,1,1,0.94,0,1,1
Planteur_Cacao,395000.0,529000.0,108000.0,1,0.49,1,1,0.35,0,1,0
Salarie_Prive,360000.0,536000.0,28000.0,1,0.08,1,0,0.63,0,1,0
Planteur_Cacao,320000.0,445000.0,173000.0,0,0.3,1,0,0.71,0,0,0
Planteur_Cacao,241000.0,210000.0,45000.0,0,0.51,0,0,0.45,0,1,0
Commercant_Informel,264000.0,184000.0,47000.0,2,0.81,1,1,0.88,0,1,1
Salarie_Prive,757000.0,749000.0,82000.0,0,0.74,1,0,0.97,0,0,0
Salarie_Prive,294000.0,365000.0,74000.0,1,0.23,0,0,0.54,0,1,0
Planteur_Cacao,110000.0,109000.0,20000.0,0,0.23,1,0,0.45,0,0,0
Salarie_Prive,721000.0,709000.0,34000.0,2,0.21,0,0,0.52,0,1,0
Planteur_Cacao,362000.0,485000.0,29000.0,0,0.79,1,0,0.86,0,0,0
Planteur_Cacao,280000.0,241000.0,81000.0,1,0.73,0,0,0.67,0,1,0
Salarie_Prive,656000.0,892000.0,99000.0,0,0.67,1,2,0.14,0,0,1
Salarie_Prive,409000.0,371000.0,35000.0,1,0.36,1,0,0.58,0,1,0
Fonctionnaire,566000.0,469000.0,99000.0,0,0.45,1,0,0.12,0,0,0
Salarie_Prive,602000.0,574000.0,179000.0,2,0.42,0,1,0.79,1,1,1
Commercant_Informel,236000.0,298000.0,13000.0,1,0.25,0,0,0.39,0,1,0
Planteur_Cacao,788000.0,493000.0,118000.0,0,0.45,1,0,0.52,1,0,1
Commercant_Informel,225000.0,157000.0,10000.0,1,0.07,0,1,0.81,0,1,1
Planteur_Cacao,534000.0,774000.0,26000.0,0,0.16,1,0,0.14,0,0,0
Planteur_Cacao,454000.0,307000.0,12000.0,0,0.76,1,2,0.24,0,1,1
Artisan,278000.0,297000.0,100000.0,0,0.65,0,0,0.45,1,0,1
Commercant_Informel,421000.0,454000.0,29000.0,1,0.39,1,2,0.3,0,0,1
Fonctionnaire,423000.0,418000.0,16000.0,1,0.46,1,1,0.4,0,1,0
Salarie_Prive,387000.0,443000.0,83000.0,0,0.35,0,0,0.99,0,0,0
Salarie_Prive,569000.0,415000.0,141000.0,0,0.64,0,0,0.83,0,0,0
Commercant_Informel,219000.0,231000.0,28000.0,0,0.68,0,1,0.89,0,0,1
Commercant_Informel,461000.0,402000.0,73000.0,0,0.66,0,0,0.93,0,0,0
Commercant_Informel,292000.0,340000.0,12000.0,3,0.63,1,0,0.4,0,1,0
Planteur_Cacao,334000.0,214000.0,41000.0,1,0.21,0,1,0.36,0,1,0
Salarie_Prive,528000.0,565000.0,135000.0,0,0.32,1,1,0.31,0,0,0
Planteur_Cacao,158000.0,108000.0,26000.0,2,0.43,0,0,0.84,1,1,1
Planteur_Cacao,225000.0,175000.0,26000.0,0,0.31,1,0,0.7,0,0,0
Salarie_Prive,680000.0,489000.0,68000.0,0,0.65,1,0,0.31,0,0,0
Planteur_Cacao,282000.0,192000.0,12000.0,1,0.31,1,0,0.44,0,1,0
Artisan,137000.0,182000.0,29000.0,1,0.16,1,0,0.55,0,0,0
Artisan,232000.0,182000.0,11000.0,0,0.37,1,0,0.57,0,1,0
Artisan,271000.0,387000.0,120000.0,0,0.83,0,1,0.89,0,0,1
Commercant_Informel,345000.0,507000.0,196000.0,1,0.23,0,0,0.44,0,0,0
Planteur_Cacao,579000.0,621000.0,241000.0,3,0.54,1,0,0.91,0,1,0
Artisan,155000.0,99000.0,35000.0,1,0.4,0,0,0.49,0,1,0
Commercant_Informel,152000.0,133000.0,33000.0,1,0.11,1,0,0.76,0,0,0
Artisan,290000.0,376000.0,108000.0,0,0.44,1,1,0.93,0,0,1
Artisan,181000.0,157000.0,20000.0,0,0.61,1,1,0.91,0,0,1
Fonctionnaire,400000.0,235000.0,61000.0,0,0.46,0,0,0.15,0,0,0
Planteur_Cacao,639000.0,675000.0,130000.0,0,0.75,0,0,0.28,0,1,0
Commercant_Informel,330000.0,444000.0,90000.0,1,0.28,1,0,0.52,0,0,0
Fonctionnaire,456000.0,592000.0,182000.0,0,0.12,1,0,0.48,1,0,1
Planteur_Cacao,790000.0,533000.0,68000.0,1,0.8,1,0,0.67,0,1,0
Planteur_Cacao,284000.0,333000.0,47000.0,0,0.35,1,0,0.94,0,0,0
Commercant_Informel,364000.0,262000.0,97000.0,0,0.51,1,1,0.2,0,0,0
Artisan,203000.0,146000.0,6000.0,0,0.68,1,0,0.5,0,1,0
Salarie_Prive,540000.0,742000.0,152000.0,0,0.31,0,0,0.27,0,0,0
Commercant_Informel,418000.0,313000.0,115000.0,2,0.62,0,1,0.9,0,1,1
Planteur_Cacao,491000.0,375000.0,94000.0,0,0.16,1,0,0.96,0,0,0
Salarie_Prive,581000.0,291000.0,66000.0,0,0.28,1,1,0.53,0,0,0
Artisan,264000.0,362000.0,42000.0,1,0.17,1,0,0.19,0,1,0
Planteur_Cacao,334000.0,432000.0,65000.0,0,0.7,0,0,0.8,1,1,1
Commercant_Informel,204000.0,231000.0,79000.0,1,0.23,0,0,0.72,0,1,0
Fonctionnaire,336000.0,421000.0,98000.0,0,0.62,0,0,0.42,0,1,0
Salarie_Prive,205000.0,134000.0,29000.0,0,0.8,1,0,0.89,0,0,0
Salarie_Prive,808000.0,775000.0,45000.0,3,0.47,0,0,0.97,0,1,0
Salarie_Prive,335000.0,285000.0,7000.0,2,0.48,1,0,0.6,0,1,0
Commercant_Informel,260000.0,154000.0,60000.0,0,0.42,1,0,0.6,0,0,0
Planteur_Cacao,350000.0,345000.0,56000.0,1,0.31,1,1,0.36,0,1,0
Fonctionnaire,445000.0,632000.0,157000.0,0,0.43,1,0,0.62,0,0,0
Fonctionnaire,485000.0,262000.0,13000.0,1,0.53,0,1,0.49,0,1,1
Fonctionnaire,489000.0,387000.0,108000.0,1,0.84,0,1,0.37,1,1,1
Artisan,165000.0,117000.0,44000.0,1,0.8,1,1,0.16,0,1,0
Commercant_Informel,265000.0,196000.0,47000.0,1,0.74,1,0,0.32,0,1,0
Commercant_Informel,305000.0,430000.0,29000.0,0,0.76,1,0,0.28,0,1,0
Salarie_Prive,463000.0,448000.0,108000.0,1,0.42,1,1,0.58,0,0,0
Salarie_Prive,741000.0,716000.0,223000.0,2,0.58,1,0,0.64,0,1,0
Salarie_Prive,574000.0,723000.0,126000.0,0,0.77,0,0,0.64,0,1,0
Salarie_Prive,610000.0,399000.0,142000.0,0,0.36,0,0,0.45,0,0,0
Fonctionnaire,473000.0,467000.0,124000.0,1,0.82,0,1,0.47,0,1,1
Planteur_Cacao,611000.0,568000.0,206000.0,0,0.38,0,0,0.84,0,0,0
Commercant_Informel,296000.0,325000.0,84000.0,0,0.53,1,1,0.52,0,0,1
Planteur_Cacao,167000.0,250000.0,17000.0,1,0.62,1,1,0.98,0,0,1
Commercant_Informel,316000.0,401000.0,55000.0,0,0.81,1,2,0.49,0,0,1
Planteur_Cacao,283000.0,254000.0,25000.0,3,0.25,1,0,0.68,0,1,0
Commercant_Informel,232000.0,309000.0,113000.0,0,0.65,0,0,0.14,1,0,1
Commercant_Informel,333000.0,223000.0,69000.0,1,0.47,1,0,0.68,0,1,0
Planteur_Cacao,623000.0,330000.0,92000.0,2,0.26,1,0,0.86,0,1,0
Commercant_Informel,282000.0,199000.0,27000.0,2,0.67,1,0,0.94,0,1,0
Planteur_Cacao,456000.0,383000.0,34000.0,1,0.49,0,1,0.99,0,1,1
Planteur_Cacao,706000.0,714000.0,219000.0,0,0.58,1,0,0.35,0,0,0
Fonctionnaire,439000.0,490000.0,98000.0,0,0.31,0,0,0.61,0,0,0
Commercant_Informel,514000.0,725000.0,77000.0,2,0.44,0,0,0.5,0,1,0
Planteur_Cacao,502000.0,507000.0,129000.0,0,0.54,1,1,0.6,0,0,1
Commercant_Informel,122000.0,122000.0,4000.0,1,0.37,1,0,0.24,0,0,0
Salarie_Prive,613000.0,337000.0,49000.0,1,0.21,0,0,0.86,0,1,0
Planteur_Cacao,469000.0,251000.0,50000.0,0,0.82,1,0,0.91,0,0,0
Salarie_Prive,693000.0,729000.0,56000.0,0,0.46,0,0,0.5,0,0,0
Planteur_Cacao,521000.0,489000.0,193000.0,1,0.64,1,1,0.35,0,1,0
Planteur_Cacao,375000.0,502000.0,50000.0,1,0.38,1,0,0.23,0,1,0
Commercant_Informel,170000.0,112000.0,8000.0,0,0.33,0,0,0.71,0,0,0
Commercant_Informel,261000.0,137000.0,13000.0,0,0.38,0,1,0.38,0,0,1
Salarie_Prive,372000.0,353000.0,110000.0,2,0.38,0,0,0.91,0,1,0
Salarie_Prive,413000.0,305000.0,55000.0,0,0.49,0,0,0.7,0,1,0
Artisan,235000.0,129000.0,30000.0,0,0.48,0,2,0.67,0,1,1
Commercant_Informel,430000.0,527000.0,15000.0,1,0.45,0,1,0.6,0,1,1
Planteur_Cacao,471000.0,288000.0,10000.0,2,0.16,0,0,0.14,0,1,0
Salarie_Prive,321000.0,355000.0,67000.0,0,0.45,1,2,0.93,0,0,1
Planteur_Cacao,480000.0,375000.0,124000.0,2,0.19,1,0,0.66,0,1,0
Commercant_Informel,388000.0,261000.0,93000.0,0,0.15,0,1,0.98,1,0,1
Planteur_Cacao,290000.0,255000.0,14000.0,0,0.8,1,1,0.58,0,1,0
